,"Serial
Number",Sv2 Field Name,"Enquiry Field Name
(Customer Spec)","Enquiry Field Value
(Customer Spec)",Units,"Mapping
Category","Field
Requirement",Logic,"Value for
Sv2 Field","Service
Dependency","Sector
Dependency","Similar Field
Terminologies","Similar Field
Values","SV2 Spec
Row Number","Sv2 Spec
Field Name","Notes and
Validations","Additional
Information"
10,11,Flow Rate (MAX),Flow Rate @ Max Flow (Row 18),10.5 | 6405 | 2640,"Am³/h |
kg/h |
Nm³/h",Direct,Mandatory,"Extract flow rate value from the '@ Max Flow'
column of Row 18. Preserve units exactly as stated.",10.5 m³/h | 6405 kg/h | 2640 Nm³/h,Yes,No,"Maximum Flow Rate; Flow Max;
Qmax; Mass Flow Max",m³/h; Am³/h; Nm³/h; kg/h; kg/s; lb/h,Row 11,Flow rate,"Units vary between liquid (Am³/h or kg/h) and gas
(Nm³/h or kg/h). Check units column in Row 17
header row.",
11,12,Flow Rate (NOR),Flow Rate @ Norm Flow (Row 18),9.5 | 5823 | 2400,"Am³/h |
kg/h |
Nm³/h",Direct,Mandatory,"Extract flow rate value from the '@ Norm. Flow'
column of Row 18.",9.5 m³/h | 5823 kg/h | 2400 Nm³/h,Yes,No,"Normal Flow Rate; Nominal Flow;
Design Flow; Qnorm",Same as Max units,Row 11,Flow rate,"Normal (design) flow is the primary sizing case.
Cv at Normal flow determines valve % travel
target.",
12,13,Flow Rate (MIN),Flow Rate @ Min Flow (Row 18),4.8 | 2912 | 2920,"Am³/h |
kg/h |
Nm³/h",Direct,Mandatory,"Extract flow rate value from the '@ Min. Flow'
column of Row 18.",4.8 m³/h | 2912 kg/h | 2920 Nm³/h,Yes,No,"Minimum Flow Rate; Qmin; Low
Flow",Same as Max units,Row 11,Flow rate,"Minimum flow case checks that valve does not
throttle too close to closed position (< 10%
travel).",
13,14,Inlet Pressure (MAX),Inlet Pressure @ Max Flow (Row 19),6.8 | 3.31 | 4.3,kgf/cm²-g,Direct,Mandatory,"Extract inlet pressure from '@ Max Flow' column of
Row 19.","6.8 kgf/cm²-g | 3.31 kgf/cm²-g | 4.3
kgf/cm²-g",No,No,"P1 Max; Upstream Pressure Max;
Inlet P Max","bar-g; kPa-g; psi-g; kgf/cm²-g;
kgf/cm²-a",Row 12,Inlet Press.,"Check gauge vs absolute units. Enquiry DS uses
kgf/cm²-g (gauge). If absolute ('a'), subtract 1.033
to convert to gauge.",
14,15,Inlet Pressure (NOR),Inlet Pressure @ Norm Flow (Row 19),6.8 | 3.31 | 4.33,kgf/cm²-g,Direct,Mandatory,"Extract inlet pressure from '@ Norm. Flow' column
of Row 19.","6.8 kgf/cm²-g | 3.31 kgf/cm²-g | 4.33
kgf/cm²-g",No,No,"P1 Norm; Upstream Pressure
Normal; Inlet P Normal",Same as Max,Row 12,Inlet Press.,,
15,16,Inlet Pressure (MIN),Inlet Pressure @ Min Flow (Row 19),6.9 | 3.32 | 4.4,kgf/cm²-g,Direct,Mandatory,"Extract inlet pressure from '@ Min. Flow' column of
Row 19.","6.9 kgf/cm²-g | 3.32 kgf/cm²-g | 4.4
kgf/cm²-g",No,No,P1 Min; Upstream Pressure Min,Same as Max,Row 12,Inlet Press.,,
16,17,Outlet Pressure (MAX),"Not directly stated — derived from
Rows 19 & 20","Calculated: 6.8 - 6.57 = 0.23 | 3.31 - 0.3 =
3.01 | 4.3 - 1.72 = 2.58",kgf/cm²-g,Derived,Mandatory,"Outlet Pressure = Inlet Pressure (Row 19) −
Pressure Drop (Row 20) for each case. Sv2 requires
explicit outlet pressure.","0.23 kgf/cm²-g | 3.01 kgf/cm²-g | 2.58
kgf/cm²-g",No,No,"P2 Max; Downstream Pressure
Max; Back Pressure Max",—,Row 13,Outlet Press.,"If result is negative, check whether Enquiry DS
uses absolute rather than gauge pressure. Flag
for engineer confirmation.",
17,18,Outlet Pressure (NOR),"Not directly stated — derived from
Rows 19 & 20","Calculated: 6.8 - 6.6 = 0.20 | 3.31 - 0.31 =
3.00 | 4.33 - 1.74 = 2.59",kgf/cm²-g,Derived,Mandatory,"Outlet Pressure NOR = Inlet Press NOR (Row 19
NOR) − Pressure Drop NOR (Row 20 NOR)","0.20 kgf/cm²-g | 3.00 kgf/cm²-g | 2.59
kgf/cm²-g",No,No,"P2 Norm; Downstream Pressure
Normal",—,Row 13,Outlet Press.,,
18,19,Outlet Pressure (MIN),"Not directly stated — derived from
Rows 19 & 20","Calculated: 6.9 - 6.7 = 0.20 | 3.32 - 0.32 =
3.00 | 4.4 - 1.83 = 2.57",kgf/cm²-g,Derived,Mandatory,"Outlet Pressure MIN = Inlet Press MIN (Row 19
MIN) − Pressure Drop MIN (Row 20 MIN)","0.20 kgf/cm²-g | 3.00 kgf/cm²-g | 2.57
kgf/cm²-g",No,No,P2 Min; Downstream Pressure Min,—,Row 13,Outlet Press.,,
19,20,Pressure Drop (MAX),Pressure Drop @ Max Flow (Row 20),6.57 | 0.3 | 1.72,kgf/cm²,Direct,Mandatory,"Extract pressure drop from '@ Max Flow' column of
Row 20.",6.57 kgf/cm² | 0.3 kgf/cm² | 1.72 kgf/cm²,No,No,"dP Max; Delta P Max; Differential
Pressure Max; ΔP",bar; kPa; psi; kgf/cm²,Row 14,Pressure drop,"Pressure drop at max flow gives the largest Cv
but may not be the most critical case for control.",
20,21,Pressure Drop (NOR),Pressure Drop @ Norm Flow (Row 20),6.6 | 0.31 | 1.74,kgf/cm²,Direct,Mandatory,"Extract pressure drop from '@ Norm. Flow' column
of Row 20.",6.6 kgf/cm² | 0.31 kgf/cm² | 1.74 kgf/cm²,No,No,dP Norm; Delta P Normal,Same as Max,Row 14,Pressure drop,,
21,22,Pressure Drop (MIN),Pressure Drop @ Min Flow (Row 20),6.7 | 0.32 | 1.83,kgf/cm²,Direct,Mandatory,"Extract pressure drop from '@ Min. Flow' column of
Row 20.",6.7 kgf/cm² | 0.32 kgf/cm² | 1.83 kgf/cm²,No,No,dP Min; Delta P Min,Same as Max,Row 14,Pressure drop,,
22,23,Temperature (MAX),"Inlet Temperature @ Max Flow (Row
21)",99.9 | 160 | 40,°C,Direct,Mandatory,"Extract temperature from '@ Max Flow' column of
Row 21.",99.9 °C | 160 °C | 40 °C,Yes,No,"T Max; Process Temperature Max;
Fluid Temp Max",°C; °F; K,Row 15,Temperature,"High temperature affects packing selection,
bonnet type, and body material grade.",
23,24,Temperature (NOR),"Inlet Temperature @ Norm Flow (Row
21)",99.9 | 160 | 40,°C,Direct,Mandatory,"Extract temperature from '@ Norm. Flow' column of
Row 21.",99.9 °C | 160 °C | 40 °C,Yes,No,"T Norm; Process Temperature
Normal",Same as Max,Row 15,Temperature,,
24,25,Temperature (MIN),"Inlet Temperature @ Min Flow (Row
21)",99.99 | 160 | 40,°C,Direct,Mandatory,"Extract temperature from '@ Min. Flow' column of
Row 21.",99.99 °C | 160 °C | 40 °C,Yes,No,T Min; Process Temperature Min,Same as Max,Row 15,Temperature,,
25,26,"Specific Gravity / Molecular
Weight","Inlet Density / Specific Gravity /
Molecular Mass (Row 22)","955 kg/m³ (SG=0.955) | — (steam) | 28.96
(MW)","kg/m³ or
dimensionl
ess or
g/mol",Derived,Mandatory,"Liquid service: Row 22 gives density in kg/m³ →
divide by 1000 to get SG (e.g. 955/1000 = 0.955).
Gas service: Row 22 gives MW in g/mol (e.g. 28.96
for air). Steam service: leave blank; Sv2 uses steam","SG = 0.955 | Blank (steam) | MW =
28.96 g/mol",Yes,No,"Spec. Gravity; SG; Specific
Gravity; Molecular Weight; MW;
Density; Relative Density","kg/m³; kg/L; g/cm³; dimensionless
SG; g/mol",Row 17,Spec. Gravity,"Units must be verified. If Row 22 header says
'kg/m³' for a liquid, divide by 1000 for SG. If
already dimensionless, use directly.",
26,27,Viscosity,Inlet Viscosity (Row 24),0.276 | 0.014 | 0.0191,cP,Direct,Mandatory,"tables.
Copy viscosity value from Row 24 of Enquiry DS.",0.276 cP | 0.014 cP | 0.0191 cP,Yes,No,"Viscosity; Dynamic Viscosity;
Kinematic Viscosity; μ; Centipoise","cP; mPa·s; cSt (note: cSt ≠ cP for
density ≠ 1)",Row 18,Viscosity,"Viscosity affects Fp correction factor for high-
viscosity liquids. If in cSt, convert: cP = cSt × SG.",
27,28,Compressibility Factor (Z),Inlet Compressibility Factor (Row 23),"— (liquid; not applicable) | — (steam) |
0.999","Dimensionl
ess",Direct,Conditional,"Extract Z from Row 23. Applicable for gas/vapour
only. Leave blank for liquid and steam (Sv2 applies
steam tables).",N/A (liquid) | N/A (steam) | 0.999,Yes,No,"Z Factor; Gas Compressibility;
Compressibility; Z",0.95 to 1.05 typical range,Row 16,Z,"For ideal gases Z = 1.0. If Row 23 is blank for a
gas service, use Z = 1.0 as default.",
28,29,Specific Heats Ratio (K),Inlet Specific Heats Ratio (Row 25),"— (liquid; not applicable) | 1.317 (steam) |
1.4 (air)","Dimensionl
ess",Direct,Conditional,"Extract K from Row 25. Applicable for gas and
steam only. Leave blank for liquid services.",N/A (liquid) | 1.317 | 1.4,Yes,No,"Isentropic Exponent; Cp/Cv;
Gamma; K; Specific Heat Ratio","Air = 1.4; Steam ≈ 1.3; Nitrogen =
1.4; CO2 = 1.3",Row 18,K,"K affects the choked flow (critical pressure drop
ratio) calculation. If not stated for a gas service,
use 1.4 as conservative default for diatomic
gases.",
29,30,Vapour Pressure,Inlet Vapour Pressure (Row 26),"1.031 kgf/cm²-a | — (steam; not applicable)
| — (gas; not applicable)",kgf/cm²-a,Direct,Conditional,"Extract vapour pressure from Row 26. Applicable for
liquid services only. Used to check cavitation and
flashing.",1.031 kgf/cm²-a | N/A | N/A,Yes,No,"Pv; Vapour Pressure; Psat; Liquid
Vapour Pressure",kgf/cm²-a; bar-a; psia; kPa-a,Row 16,Vapour Press.,"Must be in absolute pressure units. If given as
gauge, add 1.033 kgf/cm² to convert to absolute.",
30,31,Valve Type,Body Type (Row 32),"Single Seat Globe | Single Seat Globe |
Single Seat Globe",—,Direct,Mandatory,"Copy body type from Row 32 of Enquiry DS
verbatim.","Single Seat Globe | Single Seat Globe |
Single Seat Globe",Yes,No,"Body Type; Valve Type; Valve
Body Style; Body Style","Single Seated Globe; Double
Seated Globe; Butterfly; Ball;
Angle; Y-Pattern",Row 27,Type,"Valve type is always stated by the customer in
this format. Do not leave for engineer to
determine.",
31,32,Body Material,Body Material (Row 36),"F.S. ASTM A105 Normalized | C.S. ASTM
A216 WCB | C.S. ASTM A216 WCB",—,Direct,Mandatory,"Copy body material specification verbatim from Row
36 of Enquiry DS. This is fully stated by the
customer.","F.S. ASTM A105 Normalized | ASTM
A216 Gr. WCC | ASTM A216 Gr. WCC",Yes,Yes,"Body Material; Body MOC; Body
Grade; Pressure Boundary Material","A105; A216 WCB; A216 WCC;
A351 CF8M; A351 CF3M; A182
F316",Row 29,Body Material,"Note: Enquiry DS says 'A216 WCB' while KSB
MIL DS shows 'A216 Gr. WCC' — verify with
engineer. WCB and WCC are different grades.
Do not silently change.",
32,33,Bonnet Type,Bonnet Type / Material (Row 37),"Bolted Flange A105 | Bolted Flange A216
WCB | Bolted Flange A216 WCB",—,Direct,Mandatory,"Copy bonnet type and material from Row 37 of
Enquiry DS.","Bolted Flange A105 | Bolted Flange A216
WCB | Bolted Flange A216 WCB",Yes,No,"Bonnet Type; Bonnet; Bonnet
Style; Bonnet Material","Standard; Extended; Finned
Extension; Cryogenic; Bolted
Flange; Pressure Seal",Row 35,Bonnet Type,"Extended or finned bonnet required for steam
above 200°C or cryogenic services. Check pipe
insulation (Row 13) for guidance.",
33,34,Flow Direction,Flow Direction (Row 38),"FTC (Flow-To-Close) | FTO (Flow-To-Open)
| FTO (Flow-To-Open)",—,Direct,Mandatory,"Copy flow direction from Row 38 of Enquiry DS.
FTC = Flow-To-Close; FTO = Flow-To-Open.","Flow to close | Flow to open | Flow to
open",Yes,No,"Flow Direction; FTC; FTO; Flow-To-
Close; Flow-To-Open; Flow Under
Seat","FTC; FTO; Over the seat; Under
the seat",Row 31,Flow Direction,"Flow direction affects actuator unbalance forces
and determines stability. Customer-specified; do
not change.",
34,35,End Connection & Rating,End Connec. & Rating (Row 35),"1.5"" 300# RF | 8"" 300# RF | 4"" 300# RF",—,Direct,Mandatory,"Copy end connection type, size, and rating from
Row 35 of Enquiry DS.","Flanged-ASME 300 RF | Flanged-ASME
300 RF | Flanged-ASME 300 RF",No,No,"End Connection; Flange Rating;
ANSI Class; Flange Type; Body
Rating","ASME 150 RF; ASME 300 RF;
ASME 600 RF; ASME 900 RTJ;
Butt Weld","Rows
30/32/33",End Conn. (Inlet/Outlet),"Body size shown in Row 33 ('By Vendor') means
KSB MIL selects from catalogue after Cv
calculation. Rating determines the body design
pressure.",
35,36,Flow Characteristic,"Characteristic (Rated Cv /
Characteristic Row 34)",Linear | Equal% | Linear,—,Derived,Mandatory,"Row 34 shows 'By Vendor | Equal% | By Vendor'.
For 'By Vendor', engineer selects based on process
control requirements: Equal Percentage for pressure-
drop ratio > 0.3; Linear for most other cases.",Linear | Equal % | Linear,Yes,No,"Characteristic; Flow Characteristic;
Inherent Characteristic; Cv
Characteristic","Linear; Equal Percentage; Quick
Opening; Modified Parabolic",Row 40,Characteristic,"Equal Percentage selected when the valve
pressure drop varies significantly across the flow
range. Linear when pressure drop is relatively
constant.",
36,37,Trim / Plug Type,Trim Type (Row 42),"Low Noise Trim | Contoured Trim | Low
Noise Trim",—,Direct,Mandatory,Copy trim type from Row 42 of Enquiry DS verbatim.,"Low Noise Trim (Anti-Cavitation) |
Contoured Trim | Low Noise Trim",Yes,No,"Trim Type; Plug Type; Trim Style;
Plug Style; Cage Type","Standard Contoured; Low Noise;
Anti-Cavitation; Parabolic; V-Port;
Characterized",Row 42,Plug Type,"Low Noise trim is specified because SPL at max
flow approaches or exceeds allowable. Verify SPL
result after Cv calculation.",
37,38,Plug Material,Plug / Ball / Disk Material (Row 44),410 (13Cr) | 410 (13Cr) | 410 (13Cr),—,Direct,Mandatory,"Copy plug material from Row 44 of Enquiry DS
verbatim.","SS 410 + Stellite No.6 | SS 410 + Stellite
No.6 | SS 410 + Stellite No.6",Yes,Yes,"Plug Material; Ball Material; Disk
Material; Trim Material; Plug MOC","SS 316; SS 410; 17-4PH; Stellite
overlay; Hastelloy C",Row 46,Plug Material,"Enquiry DS states '410 (13Cr)'; KSB MIL DS
output shows 'SS 410 + Stellite No.6' — the
Stellite hard-facing is a KSB MIL standard
addition for corrosion and erosion resistance.",
38,39,Seat Material,Seat Material (Row 45),"St Gr6 (CoCrAlloy) | St Gr6 (CoCrAlloy) | St
Gr6 (CoCrAlloy)",—,Direct,Mandatory,"Copy seat material from Row 45 of Enquiry DS
verbatim.","SS 410 + Stellite No.6 | SS 410 + Stellite
No.6 | SS 410 + Stellite No.6",Yes,Yes,"Seat Material; Seat Ring Material;
Seat MOC","SS 316; SS 410; Stellite; Monel;
Inconel",Row 47,Seat Material,"'St Gr6' = Stellite Grade 6 (Cobalt-Chromium
alloy). KSB MIL DS shows seat as SS 410 +
Stellite overlay. Confirm mapping with engineer.",
39,40,Seat Leakage Class,Tightness Requirements (Row 7),"ANSI IV (standard) | ANSI IV (standard) |
ANSI V",—,Derived,Mandatory,"Map customer tightness requirement to FCI 70.2
leakage class: ANSI IV → IV (FCI 70.2); ANSI V →
V (FCI 70.2); ANSI VI → VI (FCI 70.2)","IV (FCI 70.2) | IV (FCI 70.2) | V (FCI
70.2)",No,No,"Leakage Class; Seat Leakage;
Tightness Class; Shut-off Class","Class I; Class II; Class III; Class IV;
Class V; Class VI; Zero Leakage",Row 41,Seat Leakage Class,"Class V required for Tag 3 (ANSI V). Class V
requires lapped metal seat. Increases cost and
lead time. Flag for review.",
40,41,Guiding,Guiding / No. of Ports (Row 41),By Vendor / 1 (all tags),—,Engineered,Optional,"'By Vendor' means KSB MIL selects guiding
arrangement. Standard for single-seated globe:
Heavy Top Guiding for Tag 1 and 3; Cage Guiding
for Tag 2 (heavy-duty steam).","Heavy Top Guiding | Cage Guiding |
Heavy Top Guiding",Yes,No,"Guiding; Guide Type; Plug Guiding;
Top-and-Bottom Guiding","Top Guided; Cage Guided; Top-
and-Bottom Guided; Port Guided",Row 45,Guiding,"Guiding selection affects valve stability at high
pressure drops. KSB MIL selects based on valve
series and dP ratio.",
41,42,Actuator Type,Type (Actuator) (Row 50),"Spring Diaphragm | Spring Diaphragm |
Spring Diaphragm",—,Direct,Mandatory,Copy actuator type from Row 50 of Enquiry DS.,"Pneumatic Spring Diaphragm |
Pneumatic Spring Diaphragm |
Pneumatic Spring Diaphragm",No,No,"Actuator Type; Actuator Style;
Pneumatic Actuator; Diaphragm
Actuator","Spring Diaphragm; Piston; Scotch-
Yoke; Electric; Electro-Hydraulic",Row 51,Type,"All three tags use Spring Diaphragm type — the
most common pneumatic actuator. Piston
actuator used for high shut-off or large bore
valves.",
42,43,Actuator Action / Air Failure,"Power Failure Position (Row 9) + Air
Failure Valve (Row 52)","Open (R9) / Open (R52) | Close (R9) /
Close (R52) | Open (R9) / Open (R52)",—,Derived,Mandatory,"Row 9 = Power Failure Position (safe position on air
loss). Map: Fail Open → Air to Close (ATC); Fail
Close → Air to Open (ATO). Row 52 confirms. Cross-
check both rows.","Air to Close (ATC) | Air to Open (ATO) |
Air to Close (ATC)",Yes,No,"Fail Position; Fail Safe; Air Failure;
FO; FC; Air to Close; Air to Open;
ATC; ATO","FO (Fail Open); FC (Fail Close); FL
(Fail Last); Air to Close; Air to Open",Rows 53/54,Action / Air Failure,"Actuator colour coding follows: ATC (Fail Open)
→ GREEN actuator; ATO (Fail Close) → RED
actuator. See KSB MIL DS Sheet 2 Row 112.",
43,44,Supply Pressure,Available Air Supply Pressure (Row 8),Min 3.5 kgf/cm² / Max 7 kgf/cm² (all tags),kgf/cm²,Derived,Mandatory,"Use minimum available supply pressure from Row 8.
Convert to psi: × 14.223. Round to nearest standard
value. 3.5 kgf/cm² × 14.223 ≈ 50 psi.",50 psi (all tags),No,No,"Air Supply; Instrument Air; IA
Supply; Air Supply Pressure;
Pneumatic Supply",35 psi; 50 psi; 60 psi; 80 psi,Row 56,Supply Press.,"Use minimum supply to ensure actuator can
stroke even at lowest supply condition. Bench
range must be set below supply pressure minus
positioner overhead (~5 psi).",
44,45,Bench Range,Bench Range (Row 54),By Vendor | By Vendor | By Vendor,psi,Engineered,Mandatory,"'By Vendor' on all three tags → KSB MIL calculates
bench range from actuator sizing (spring rate ×
travel + preload). Typical values: 3-15 psi, 6-30 psi.
KSB MIL DS shows 3-15 psi (Tag1) and 6-30 psi","3-15 psi (Tag1) | 6-30 psi (Tag2) | 5-18
psi (Tag3)",No,No,"Bench Range; Spring Range;
Spring Calibration; Air Range;
Bench Set",3-15 psi; 6-30 psi; 3-27 psi; 6-18 psi,Row 55,Bench Range,"Bench range calculated by actuator sizing to
ensure adequate shut-off thrust. Cannot be
determined from Enquiry DS alone — leave for
engineer.",
45,46,Shut-off Pressure,Actuator Design Pressure (Row 10),"Not stated in Enquiry DS — derived from
Row 27 Design Pressure",kgf/cm²,Derived,Mandatory,"(Tag2).
Shut-off pressure = maximum design pressure of
valve (Row 27 MAX). KSB MIL DS Row 57 shows
this value.","12 kgf/cm² (Tag1) | 8 kgf/cm² (Tag2) | 10
kgf/cm² (Tag3)",No,No,"Shut-off Pressure; Actuator Rating;
MAOP; Max Operating Pressure;
Differential Shut-off Pressure",—,Row 57,Shut off Press.,"Used to size actuator spring and diaphragm area
to ensure valve closes tightly against max design
pressure.",
46,47,Handwheel,Handwheel (Row 53),"— (dash; not specified) | — (dash) | Side
Mounted",—,Direct,Optional,"Copy handwheel requirement from Row 53. '—' or
blank = No handwheel. 'Side Mounted' = side-
mounted handwheel assembly.",No/NA | No/NA | Yes/6A2 (Side Mounted),No,No,"Handwheel; Manual Override;
Manual Operator; Side Handwheel;
Top Handwheel","No; NA; Side Mounted; Top
Mounted; Integral",Row 58,Hand Wheel/Model,"Tag 3 (Plant Air) requires side-mounted
handwheel. This is a manual override device —
allows operator to position valve when air supply
is unavailable.",
47,48,Positioner Type,"Not stated in Enquiry DS (Row 56 =
VTA/VTA)",VTA / VTA (all tags),—,Engineered,Mandatory,"VTA = Vendor To Advise. KSB MIL selects standard
smart positioner: Smart Single Acting (HART).
Selection standard for all modulating control valves.",Smart Single Acting,No,No,"Positioner Type; Positioner Style;
Electro-Pneumatic Positioner","Single Acting; Double Acting;
Smart; Conventional; Digital",Row 72,Type,"Smart positioner integrates position transmitter —
eliminates need for separate position transmitter
hardware.",
48,49,Positioner Make,Positioner MFR (Row 56),VTA (all tags),—,Derived,Mandatory,"VTA → KSB MIL standard selection: METSO. If
customer specifies a make (not VTA), copy directly.",METSO,No,No,"Positioner Manufacturer; Positioner
Make; Brand","METSO; SAMSON; FISHER; ABB;
SIEMENS; ROTORK",Row 73,Make,"METSO ND9103 is the KSB MIL standard
positioner. Alternative approved make: SAMSON
3730.",
49,50,Positioner Model,Positioner Model (Row 56),VTA (all tags),—,Derived,Mandatory,"VTA → KSB MIL standard model: ND9103-HX-T
(HART communication, aluminium housing, ATEX
certified).",ND9103-HX-T,No,No,Positioner Model; Model Number,"ND9103-HX-T; TZID-C; 3731-3;
DVC6200",Row 74,Model,"ND9103-HX-T: HX = HART with XP rating; T =
with position transmitter integrated.",
50,51,Positioner Protocol / Casing,Signal Inlet (Row 57),4-20mA+HART / 3-15Psi (all tags),—,Derived,Mandatory,"Signal '4-20mA+HART' → Protocol = HART.
Standard casing = Aluminium (IP66). Combined
field: HART/Aluminium.",HART/Aluminium,No,No,"Communication Protocol;
Positioner Protocol; Housing
Material; Casing","HART; FOUNDATION Fieldbus;
PROFIBUS PA; 4-20mA only",Row 75,Protocol / casing,,
